Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
47,Maximilian Breunig,GER,"FW,MF",Heidenheim,24,2000.0,2.4,55,54,1,0,0,1,1,1,0,0,0,0,31,0,5
48,Moritz Broschinski,GER,FW,Bochum,24,2000.0,2.8,45,40,5,0,0,0,2,0,0,0,0,0,26,0,4
49,Jacob Bruun Larsen,DEN,"DF,FW",Hoffenheim,26,1998.0,1.0,38,33,5,0,1,1,6,3,1,0,1,0,27,0,1
50,Marius Bülter,GER,FW,Hoffenheim,31,1993.0,4.0,81,74,7,0,1,0,15,1,0,0,0,0,60,0,4
51,Jonathan Burkardt,GER,"FW,MF",Mainz 05,24,2000.0,5.0,93,78,15,0,0,3,6,2,0,0,0,0,69,0,1
52,Marnon Busch,GER,DF,Heidenheim,29,1994.0,1.7,101,90,11,2,0,1,6,9,0,0,0,0,74,0,1
53,Anthony Caci,FRA,DF,Mainz 05,27,1997.0,4.2,196,166,29,4,0,2,20,20,5,3,2,0,135,1,7
54,Emre Can,GER,"MF,DF",Dortmund,30,1994.0,3.2,213,209,4,3,0,1,4,1,0,0,0,0,187,0,2
55,Julian Chabot,GER,DF,Stuttgart,26,1998.0,4.8,362,345,17,10,0,2,0,0,0,0,0,0,316,0,1
56,El Chadaille Bitshiabu,FRA,DF,RB Leipzig,19,2005.0,1.1,51,51,0,0,0,0,0,0,0,0,0,0,43,0,1
57,Fares Chaïbi,ALG,"FW,MF",Eint Frankfurt,21,2002.0,3.1,125,95,28,4,1,2,32,3,21,7,12,0,84,2,1
58,Anrie Chase,JPN,DF,Stuttgart,20,2004.0,2.5,170,163,7,3,0,2,0,4,0,0,0,0,155,0,1
59,Fabio Chiarodia,ITA,DF,Gladbach,19,2005.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Nnamdi Collins,GER,DF,Eint Frankfurt,20,2004.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Kingsley Coman,FRA,"FW,MF",Bayern Munich,28,1996.0,2.3,106,105,1,0,0,0,9,1,0,0,0,0,85,0,1
62,Sirlord Conteh,GER,"FW,DF",Heidenheim,28,1996.0,1.4,42,39,2,0,0,0,6,1,0,0,0,0,28,1,4
63,Yan Couto,BRA,DF,Dortmund,22,2002.0,1.6,114,100,14,2,0,2,7,11,1,0,1,0,92,0,1
64,Tomáš Čvančara,CZE,"FW,MF",Gladbach,24,2000.0,0.9,26,26,0,0,0,0,2,0,0,0,0,0,18,0,0
65,Mahmoud Dahoud,GER,MF,Eint Frankfurt,28,1996.0,0.6,31,31,0,0,0,0,1,0,0,0,0,0,25,0,1
66,Bence Dárdai,GER,FW,Wolfsburg,18,2006.0,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
67,Lukas Daschner,GER,"MF,FW",Bochum,25,1998.0,2.0,46,39,7,3,0,0,9,0,2,1,1,0,30,0,0
68,Alphonso Davies,CAN,DF,Bayern Munich,23,2000.0,3.3,225,199,26,4,1,0,1,22,0,0,0,0,208,0,3
69,Olivier Deman,BEL,DF,Werder Bremen,24,2000.0,0.2,6,3,3,0,0,0,0,3,0,0,0,0,5,0,0
70,Ermedin Demirović,BIH,FW,Stuttgart,26,1998.0,3.6,73,68,4,0,1,0,0,0,0,0,0,0,51,1,5
