Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
34,Mergim Berisha,GER,FW,Hoffenheim,26,1998.0,2.4,1,7,1,14.3,2.86,0.41,0.14,1.0,14.9,1,0,0,0.8,0.8,0.11,0.2,0.2
35,Alexander Bernhardsson,SWE,"DF,FW",Holstein Kiel,26,1998.0,1.7,1,4,2,50.0,2.37,1.18,0.25,0.5,19.2,0,0,0,0.2,0.2,0.05,0.8,0.8
36,Matúš Bero,SVK,MF,Bochum,29,1995.0,4.7,2,3,2,66.7,0.63,0.42,0.67,1.0,15.6,0,0,0,0.3,0.3,0.09,1.7,1.7
37,El Bilal Touré,MLI,"FW,MF",Stuttgart,22,2001.0,0.7,1,5,2,40.0,6.82,2.73,0.2,0.5,10.6,0,0,0,1.3,1.3,0.26,-0.3,-0.3
38,Tom Bischof,GER,MF,Hoffenheim,19,2005.0,2.1,0,3,0,0.0,1.44,0.0,0.0,0.0,24.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1
39,Leonardo Bittencourt,GER,MF,Werder Bremen,30,1993.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
40,Myron Boadu,NED,"FW,MF",Bochum,23,2001.0,2.9,1,5,1,20.0,1.73,0.35,0.2,1.0,14.4,0,0,0,1.0,1.0,0.2,0.0,0.0
41,Sacha Boey,FRA,DF,Bayern Munich,24,2000.0,1.4,0,1,0,0.0,0.71,0.0,0.0,0.0,14.2,0,0,0,0.0,0.0,0.04,0.0,0.0
42,Victor Boniface,NGA,FW,Leverkusen,23,2000.0,3.8,3,21,6,28.6,5.53,1.58,0.14,0.5,17.0,0,0,0,2.5,2.5,0.12,0.5,0.5
43,Sebastiaan Bornauw,BEL,DF,Wolfsburg,25,1999.0,5.0,2,4,2,50.0,0.8,0.4,0.5,1.0,7.8,0,0,0,0.6,0.6,0.14,1.4,1.4
44,Carlo Boukhalfa,MAR,MF,St. Pauli,25,1999.0,2.6,1,5,1,20.0,1.9,0.38,0.2,1.0,11.9,0,0,0,0.3,0.3,0.07,0.7,0.7
45,Julian Brandt,GER,MF,Dortmund,28,1996.0,4.2,0,9,2,22.2,2.12,0.47,0.0,0.0,20.6,0,0,0,0.8,0.8,0.09,-0.8,-0.8
46,Tim Breithaupt,GER,MF,Augsburg,22,2002.0,1.3,0,1,0,0.0,0.75,0.0,0.0,0.0,7.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1
