Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Gls_per_90,Ast,Ast_per_90,G+A,G+A_per_90,G-PK,G-PK_per_90,PK,PKatt,CrdY,CrdR,xG,xG_per_90,npxG,npxG_per_90,xAG,xAG_per_90,npxG+xAG,npxG+xAG_per_90,PrgC,PrgP,PrgR,G+A-PK,xG+xAG
25,Christoph Baumgartner,AUT,"MF,DF",RB Leipzig,25.0,1999.0,5,1,106,1.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.3,0.26,0.3,0.26,0.0,0.0,0.3,0.26,2,0,9,0.0,0.26
26,Adrian Beck,GER,FW,Heidenheim,27.0,1997.0,4,3,208,2.3,1,0.43,1,0.43,2,0.87,1,0.43,0,0,0,0,0.5,0.21,0.5,0.21,0.2,0.09,0.7,0.3,2,5,5,0.87,0.3
27,Timo Becker,GER,DF,Holstein Kiel,27.0,1997.0,5,5,450,5.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.8,0.16,0.8,0.16,0.0,0.01,0.9,0.17,4,7,10,0.0,0.17
28,Kevin Behrens,GER,FW,Wolfsburg,33.0,1991.0,3,0,45,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.5,0.91,0.5,0.91,0.0,0.0,0.5,0.91,0,0,6,0.0,0.91
29,Maximilian Beier,GER,"FW,MF",Dortmund,21.0,2002.0,4,1,138,1.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.09,0.1,0.09,0.1,0.1,0.3,0.19,1,2,9,0.0,0.19
30,Stefan Bell,GER,DF,Mainz 05,33.0,1991.0,3,1,164,1.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.4,0.2,0.4,0.2,0.0,0.01,0.4,0.21,3,4,1,0.0,0.21
31,Jeanuël Belocian,FRA,DF,Leverkusen,19.0,2005.0,2,1,46,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0.0,0.0
32,László Bénes,SVK,"MF,FW",Union Berlin,27.0,1997.0,5,1,138,1.5,1,0.65,0,0.0,1,0.65,1,0.65,0,0,1,0,0.3,0.19,0.3,0.19,0.2,0.11,0.5,0.3,1,4,7,0.65,0.3
33,Ramy Bensebaini,ALG,"DF,FW",Dortmund,29.0,1995.0,5,1,173,1.9,0,0.0,1,0.52,1,0.52,0,0.0,0,0,2,0,0.1,0.06,0.1,0.06,0.5,0.27,0.6,0.33,3,6,8,0.52,0.33
34,Mergim Berisha,GER,FW,Hoffenheim,26.0,1998.0,5,3,220,2.4,1,0.41,1,0.41,2,0.82,1,0.41,0,0,0,0,0.8,0.32,0.8,0.32,0.5,0.2,1.3,0.52,2,5,7,0.82,0.52
35,Alexander Bernhardsson,SWE,"DF,FW",Holstein Kiel,26.0,1998.0,2,2,152,1.7,1,0.59,0,0.0,1,0.59,1,0.59,0,0,1,0,0.2,0.12,0.2,0.12,0.2,0.1,0.4,0.22,2,3,5,0.59,0.22
36,Matúš Bero,SVK,MF,Bochum,29.0,1995.0,5,5,427,4.7,2,0.42,0,0.0,2,0.42,2,0.42,0,0,2,0,0.3,0.06,0.3,0.06,0.2,0.05,0.5,0.11,5,15,12,0.42,0.11
37,El Bilal Touré,MLI,"FW,MF",Stuttgart,22.0,2001.0,4,0,66,0.7,1,1.36,0,0.0,1,1.36,1,1.36,0,0,0,0,1.3,1.78,1.3,1.78,0.1,0.17,1.4,1.95,2,1,5,1.36,1.95
38,Tom Bischof,GER,MF,Hoffenheim,19.0,2005.0,3,2,188,2.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.1,0.06,0.1,0.06,0.2,0.08,0.3,0.14,5,10,7,0.0,0.14
39,Leonardo Bittencourt,GER,MF,Werder Bremen,30.0,1993.0,1,0,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0
40,Myron Boadu,NED,"FW,MF",Bochum,23.0,2001.0,5,3,260,2.9,1,0.35,1,0.35,2,0.69,1,0.35,0,0,0,0,1.0,0.35,1.0,0.35,0.3,0.11,1.3,0.46,3,3,15,0.69,0.46
41,Sacha Boey,FRA,DF,Bayern Munich,24.0,2000.0,2,2,127,1.4,0,0.0,1,0.71,1,0.71,0,0.0,0,0,1,0,0.0,0.03,0.0,0.03,0.9,0.66,1.0,0.69,4,0,10,0.71,0.69
42,Victor Boniface,NGA,FW,Leverkusen,23.0,2000.0,5,4,342,3.8,3,0.79,1,0.26,4,1.05,3,0.79,0,0,1,0,2.5,0.66,2.5,0.66,0.7,0.19,3.2,0.85,9,6,19,1.05,0.85
43,Sebastiaan Bornauw,BEL,DF,Wolfsburg,25.0,1999.0,5,5,450,5.0,2,0.4,0,0.0,2,0.4,2,0.4,0,0,1,0,0.6,0.11,0.6,0.11,0.0,0.0,0.6,0.11,0,7,0,0.4,0.11
44,Carlo Boukhalfa,MAR,MF,St. Pauli,25.0,1999.0,5,3,237,2.6,1,0.38,0,0.0,1,0.38,1,0.38,0,0,0,0,0.3,0.13,0.3,0.13,0.1,0.04,0.4,0.17,2,6,7,0.38,0.17
45,Julian Brandt,GER,MF,Dortmund,28.0,1996.0,5,5,382,4.2,0,0.0,2,0.47,2,0.47,0,0.0,0,0,0,0,0.8,0.18,0.8,0.18,0.8,0.18,1.6,0.37,15,30,38,0.47,0.37
46,Tim Breithaupt,GER,MF,Augsburg,22.0,2002.0,2,2,120,1.3,0,0.0,1,0.75,1,0.75,0,0.0,0,0,0,0,0.1,0.04,0.1,0.04,0.4,0.29,0.4,0.33,1,10,1,0.75,0.33
47,Maximilian Breunig,GER,"FW,MF",Heidenheim,24.0,2000.0,5,2,217,2.4,2,0.83,0,0.0,2,0.83,1,0.41,1,1,0,0,2.5,1.02,1.7,0.69,0.2,0.07,1.8,0.76,2,5,7,0.41,1.09
48,Moritz Broschinski,GER,FW,Bochum,24.0,2000.0,5,3,251,2.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.6,0.21,0.6,0.21,0.0,0.0,0.6,0.21,5,3,21,0.0,0.21
49,Jacob Bruun Larsen,DEN,"DF,FW",Hoffenheim,26.0,1998.0,5,0,92,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.3,0.32,0.3,0.32,0.0,0.01,0.3,0.34,7,4,18,0.0,0.34
50,Marius Bülter,GER,FW,Hoffenheim,31.0,1993.0,5,5,357,4.0,3,0.76,1,0.25,4,1.01,3,0.76,0,0,0,0,1.4,0.35,1.4,0.35,0.9,0.22,2.3,0.58,12,5,28,1.01,0.58
51,Jonathan Burkardt,GER,"FW,MF",Mainz 05,24.0,2000.0,5,5,447,5.0,3,0.6,0,0.0,3,0.6,3,0.6,0,0,0,0,2.3,0.47,2.3,0.47,0.1,0.03,2.5,0.5,5,8,22,0.6,0.5
