Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
37,El Bilal Touré,MLI,"FW,MF",Stuttgart,22,2001.0,0.7,34,0,0,8,26,8,34,1,1,100.0,0,0.0,18,62,19,2,1,2,5,0,27,5
38,Tom Bischof,GER,MF,Hoffenheim,19,2005.0,2.1,114,10,28,50,37,2,114,2,1,50.0,1,50.0,39,184,96,5,2,1,1,0,44,7
39,Leonardo Bittencourt,GER,MF,Werder Bremen,30,1993.0,0.0,3,0,0,2,1,0,3,0,0,0.0,0,0.0,1,14,8,1,0,0,0,0,2,0
40,Myron Boadu,NED,"FW,MF",Bochum,23,2001.0,2.9,49,4,5,17,27,6,49,1,1,100.0,0,0.0,38,226,98,3,2,1,6,3,37,15
41,Sacha Boey,FRA,DF,Bayern Munich,24,2000.0,1.4,103,2,18,48,38,3,103,6,3,50.0,3,50.0,58,268,119,4,3,2,2,0,72,10
42,Victor Boniface,NGA,FW,Leverkusen,23,2000.0,3.8,131,3,9,52,71,31,131,17,7,41.2,9,52.9,63,373,156,9,4,8,14,13,102,19
43,Sebastiaan Bornauw,BEL,DF,Wolfsburg,25,1999.0,5.0,190,24,74,108,9,5,190,1,0,0.0,1,100.0,73,388,112,0,1,0,2,1,86,0
44,Carlo Boukhalfa,MAR,MF,St. Pauli,25,1999.0,2.6,102,1,16,48,38,9,102,3,1,33.3,2,66.7,40,181,77,2,1,0,4,2,57,7
45,Julian Brandt,GER,MF,Dortmund,28,1996.0,4.2,250,3,28,109,114,10,250,4,2,50.0,1,25.0,132,788,456,15,14,2,9,1,200,38
46,Tim Breithaupt,GER,MF,Augsburg,22,2002.0,1.3,75,2,18,49,8,1,75,2,2,100.0,0,0.0,44,174,67,1,0,0,3,2,47,1
