Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
22,Selim Amallah,ma MAR,MF,Valladolid,27-320,1996,6,5,374,4.2,0,1,1,0,0,0,1,0,0.4,0.4,0.1,0.6,8,20,7,0.00,0.24,0.24,0.00,0.24,0.11,0.03,0.14,0.11,0.14,Matches
23,Amath,sn SEN,"FW,DF",Valladolid,28-076,1996,5,4,226,2.5,0,1,1,0,0,0,0,0,0.3,0.3,0.2,0.5,6,8,15,0.00,0.40,0.40,0.00,0.40,0.11,0.08,0.19,0.11,0.19,Matches
24,Marcos André,br BRA,FW,Valladolid,27-346,1996,4,3,207,2.3,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,1,0,5,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
25,Antoniu,es ESP,MF,Espanyol,22-025,2002,2,0,29,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,1,0.00,0.00,0.00,0.00,0.00,0.05,0.29,0.34,0.05,0.34,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
26,Aritz Arambarri,es ESP,DF,Leganés,26-243,1998,2,2,177,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
27,Mauro Arambarri,uy URU,"MF,FW",Getafe,29-000,1995,8,4,378,4.2,2,0,2,2,0,0,3,0,0.4,0.4,0.0,0.4,1,9,6,0.48,0.00,0.48,0.48,0.48,0.09,0.00,0.09,0.09,0.09,Matches
28,Jon Aramburu,ve VEN,DF,Real Sociedad,22-069,2002,6,4,346,3.8,0,0,0,0,0,0,3,0,0.1,0.1,0.2,0.4,7,21,8,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.09,0.03,0.09,Matches
29,Adu Ares,es ESP,FW,Athletic Club,22-354,2001,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
30,Jesús Areso,es ESP,DF,Osasuna,25-090,1999,7,7,612,6.8,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,27,23,28,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches
31,José Arnaiz,es ESP,FW,Osasuna,29-168,1995,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.41,0.41,0.00,0.41,Matches
32,Takuma Asano,jp JPN,FW,Mallorca,29-325,1994,6,4,319,3.5,0,0,0,0,0,0,0,0,0.7,0.7,0.0,0.7,16,9,20,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.19,0.19,0.19,Matches
