Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
31,José Arnaiz,es ESP,FW,Osasuna,29-168,1995,0.2,12,1,1,6,5,0,12,2,0,0.0,1,50.0,9,32,11,1,0,0,0,1,9,1,Matches
32,Takuma Asano,jp JPN,FW,Mallorca,29-325,1994,3.5,114,2,19,37,62,20,114,9,3,33.3,5,55.6,71,512,301,16,7,7,7,2,79,20,Matches
33,Iago Aspas,es ESP,"FW,MF",Celta Vigo,37-060,1987,6.4,290,3,24,150,124,19,288,11,7,63.6,3,27.3,222,1315,617,19,14,5,11,7,244,47,Matches
34,Yaser Asprilla,co COL,"MF,FW",Girona,20-316,2003,2.8,156,2,13,72,74,8,156,15,5,33.3,7,46.7,103,779,396,17,11,5,8,4,122,28,Matches
35,Ezequiel Ávila,ar ARG,FW,Betis,30-237,1994,2.2,115,1,6,39,70,13,115,3,0,0.0,3,100.0,58,210,99,4,3,2,12,1,83,22,Matches
36,César Azpilicueta,es ESP,DF,Atlético Madrid,35-033,1989,4.3,332,20,109,187,37,4,332,0,0,,0,,186,891,629,4,5,0,1,0,253,5,Matches
37,Loïc Bade,fr FRA,DF,Sevilla,24-172,2000,5.2,416,50,253,153,13,5,416,9,7,77.8,2,22.2,246,1102,465,0,3,0,2,1,279,1,Matches
38,Alex Baena,es ESP,MF,Villarreal,23-072,2001,5.1,265,3,34,114,122,12,265,13,4,30.8,6,46.2,155,811,454,11,13,0,8,8,179,29,Matches
39,Eric Bailly,ci CIV,DF,Villarreal,30-171,1994,4.2,227,32,122,98,7,2,227,2,2,100.0,0,0.0,123,636,304,1,4,0,3,0,146,0,Matches
40,Cédric Bakambu,cd COD,FW,Betis,33-172,1991,1.2,33,0,0,15,18,6,33,1,0,0.0,0,0.0,15,44,8,0,0,0,4,1,24,5,Matches
41,Alejandro Balde,es ESP,DF,Barcelona,20-348,2003,5.2,326,9,58,174,100,6,326,28,10,35.7,10,35.7,193,1361,602,19,11,1,5,8,233,47,Matches
42,Iván Balliu,al ALB,DF,Rayo Vallecano,32-273,1992,4.5,221,17,83,98,44,2,221,3,2,66.7,1,33.3,79,304,123,3,3,1,6,1,93,4,Matches
43,Jonathan Bamba,ci CIV,"FW,MF",Celta Vigo,28-188,1996,2.8,148,4,26,70,55,5,148,10,5,50.0,5,50.0,93,580,292,9,4,1,4,6,109,21,Matches
44,Valentín Barco,ar ARG,DF,Sevilla,20-069,2004,2.8,200,4,40,75,86,3,200,12,2,16.7,9,75.0,99,422,179,2,3,0,3,3,114,10,Matches
45,Enzo Barrenechea,ar ARG,MF,Valencia,23-131,2001,2.1,126,7,31,86,9,2,126,2,0,0.0,1,50.0,55,159,67,0,1,0,1,2,80,2,Matches
46,Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,22-278,2001,2.8,140,4,20,54,67,11,140,6,3,50.0,3,50.0,81,465,217,7,5,2,10,5,95,31,Matches
47,Pablo Barrios,es ESP,MF,Atlético Madrid,21-107,2003,3.5,264,14,76,129,59,4,264,5,4,80.0,0,0.0,149,781,345,3,3,0,7,4,196,11,Matches
48,Thierno Barry,fr FRA,FW,Villarreal,21-345,2002,4.0,113,5,10,42,62,20,113,7,1,14.3,5,71.4,59,393,110,4,4,3,15,5,82,14,Matches
49,Marc Bartra,es ESP,DF,Betis,33-259,1991,1.9,126,17,91,34,3,2,126,2,1,50.0,1,50.0,81,358,235,0,0,0,2,1,86,0,Matches
50,Aboubacar Bassinga,ci CIV,MF,Las Palmas,19-079,2005,0.0,4,0,0,4,0,0,4,0,0,,0,,3,11,4,0,0,0,0,1,3,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
51,Augusto Batalla,ar ARG,GK,Rayo Vallecano,28-153,1996,4.0,138,109,135,3,0,0,138,0,0,,0,,82,414,274,0,0,0,0,0,73,0,Matches
52,Sheraldo Becker,sr SUR,"FW,MF",Real Sociedad,29-234,1995,4.8,154,6,15,45,97,19,154,6,3,50.0,1,16.7,94,828,466,19,4,8,7,1,119,44,Matches
53,Donny van de Beek,nl NED,"MF,FW",Girona,27-165,1997,1.3,61,1,16,23,23,8,61,2,1,50.0,1,50.0,26,77,37,1,1,0,1,0,43,10,Matches
54,Héctor Bellerín,es ESP,DF,Betis,29-195,1995,3.3,226,11,67,109,50,6,226,4,4,100.0,0,0.0,136,497,250,3,3,0,4,1,156,12,Matches
55,Jude Bellingham,eng ENG,MF,Real Madrid,21-093,2003,3.9,316,3,44,184,89,18,316,6,4,66.7,1,16.7,205,1055,461,15,4,2,7,4,253,23,Matches
56,Fran Beltrán,es ESP,MF,Celta Vigo,25-240,1999,4.6,297,8,62,196,40,4,297,3,2,66.7,1,33.3,186,977,460,8,6,1,4,9,228,6,Matches
57,Carlos Benavídez,uy URU,MF,Alavés,26-184,1998,2.4,111,7,28,72,14,0,111,2,1,50.0,1,50.0,75,382,179,1,1,0,0,0,67,2,Matches
58,Iker Benito,es ESP,"FW,MF",Osasuna,22-051,2002,0.4,18,1,4,11,4,0,18,1,0,0.0,1,100.0,8,60,25,2,1,0,1,0,13,4,Matches
59,Yuri Berchiche,es ESP,DF,Athletic Club,34-233,1990,5.2,337,25,101,181,58,4,337,5,4,80.0,1,20.0,155,909,518,8,10,0,2,0,176,14,Matches
60,Álex Berenguer,es ESP,FW,Athletic Club,29-088,1995,4.6,208,5,24,72,117,14,208,14,6,42.9,7,50.0,112,777,436,15,8,7,9,5,137,44,Matches
61,Marc Bernal,es ESP,MF,Barcelona,17-127,2007,2.7,184,4,47,116,21,1,184,3,2,66.7,1,33.3,97,461,150,0,2,0,2,2,137,2,Matches
62,Juan Bernat,es ESP,"MF,DF",Villarreal,31-213,1993,0.2,11,2,6,2,3,1,11,0,0,,0,,7,33,17,1,1,0,0,0,6,0,Matches
63,Juan Berrocal,es ESP,DF,Getafe,25-149,1999,4.0,146,16,85,59,2,2,146,0,0,,0,,51,219,133,1,0,0,0,0,48,0,Matches
64,Antonio Blanco,es ESP,MF,Alavés,24-069,2000,5.0,233,6,48,141,47,2,233,6,4,66.7,2,33.3,126,594,252,1,6,0,3,7,131,3,Matches
65,Daley Blind,nl NED,DF,Girona,34-205,1990,7.6,754,48,269,406,85,4,754,9,7,77.8,2,22.2,525,2843,1691,13,22,0,3,3,606,12,Matches
66,Adama Boiro,es ESP,DF,Athletic Club,22-100,2002,1.6,70,6,17,37,16,0,70,3,2,66.7,1,33.3,28,155,68,1,0,0,3,2,36,2,Matches
67,Enzo Boyomo,cm CMR,DF,Osasuna,22-359,2001,5.0,230,29,124,103,4,2,230,2,2,100.0,0,0.0,109,728,488,1,0,0,2,2,124,0,Matches
68,Enzo Boyomo,cm CMR,DF,Valladolid,22-359,2001,3.0,215,23,131,79,6,4,215,1,1,100.0,0,0.0,128,563,282,1,0,0,0,0,159,0,Matches
69,Darko Brašanac,rs SRB,MF,Leganés,32-231,1992,5.3,206,22,59,101,46,10,206,3,0,0.0,3,100.0,67,219,85,0,2,0,2,1,112,13,Matches
70,Ante Budimir,hr CRO,FW,Osasuna,33-070,1991,5.6,157,3,10,68,80,31,155,9,4,44.4,5,55.6,70,348,163,6,6,1,19,9,101,23,Matches
71,Leandro Cabrera,uy URU,DF,Espanyol,33-105,1991,4.5,300,64,167,124,11,7,300,0,0,,0,,130,466,270,1,1,0,2,0,165,0,Matches
72,Fernando Calero,es ESP,DF,Espanyol,29-016,1995,2.0,126,20,89,37,0,0,126,0,0,,0,,62,275,161,0,0,0,0,0,81,0,Matches
73,Sergio Camello,es ESP,FW,Rayo Vallecano,23-233,2001,4.7,144,8,20,59,69,16,144,6,2,33.3,3,50.0,77,450,261,9,8,4,10,9,112,25,Matches
