Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 29_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
560,Nacho Vidal,es ESP,DF,Osasuna,29-250,1995,3,108,36,15.0,1.2,1,90,1,2,9,5,2.00,1,5,-4,-3.33,-3.77,0.1,2.7,-2.6,-2.18,-2.34,Matches
561,Fran Vieites,es ESP,GK,Betis,25-146,1999,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
562,Toni Villa,es ESP,"FW,MF",Girona,29-267,1995,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
563,Asier Villalibre,es ESP,FW,Alavés,27-000,1997,5,178,36,24.7,2.0,2,66,0,3,15,3,0.60,1,5,-4,-2.02,-2.52,2.2,3.2,-1.0,-0.51,-0.72,Matches
564,Iván Villar,es ESP,GK,Celta Vigo,27-083,1997,4,360,90,50.0,4.0,4,90,4,0,,4,1.50,10,9,+1,+0.25,+0.50,6.5,6.9,-0.5,-0.11,-0.74,Matches
565,Viti,es ESP,DF,Las Palmas,27-014,1997,6,247,41,39.2,2.7,2,74,1,4,25,1,0.50,2,5,-3,-1.09,-0.62,2.2,4.9,-2.6,-0.96,-0.05,Matches
566,Daniel Vivian,es ESP,DF,Athletic Club,25-077,1999,7,550,79,76.4,6.1,6,90,6,1,10,1,1.86,10,6,+4,+0.65,+0.65,6.5,7.3,-0.8,-0.13,+0.02,Matches
567,Sebastian Wade,es ESP,DF,Mallorca,21-174,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
568,Iñaki Williams,gh GHA,FW,Athletic Club,30-107,1994,8,632,79,87.8,7.0,7,85,5,1,35,0,1.75,12,7,+5,+0.71,+1.73,8.2,7.7,+0.6,+0.08,+1.74,Matches
569,Nico Williams,es ESP,FW,Athletic Club,22-080,2002,7,431,62,59.9,4.8,5,76,2,2,26,0,1.57,4,4,0,0.00,-1.25,4.6,5.4,-0.8,-0.17,-0.08,Matches
570,Axel Witsel,be BEL,DF,Atlético Madrid,35-262,1989,3,225,75,31.3,2.5,3,75,2,0,,5,1.00,3,3,0,0.00,-1.45,3.8,2.9,+0.9,+0.35,-0.46,Matches
571,Áron Yaakobishvili,hu HUN,GK,Barcelona,18-208,2006,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
572,Lamine Yamal,es ESP,FW,Barcelona,17-079,2007,8,654,82,90.8,7.3,7,89,3,1,32,0,2.63,24,7,+17,+2.34,+3.70,18.6,8.0,+10.6,+1.45,+1.74,Matches
573,Bertuğ Yıldırım,tr TUR,FW,Getafe,22-080,2002,6,402,67,55.8,4.5,5,78,1,1,11,0,0.83,2,4,-2,-0.45,-0.73,4.2,5.3,-1.1,-0.26,-0.65,Matches
574,Bryan Zaragoza,es ESP,"MF,FW",Osasuna,23-158,2001,8,486,61,67.5,5.4,6,74,1,2,23,0,1.75,11,8,+3,+0.56,+2.09,6.2,6.5,-0.3,-0.05,+0.42,Matches
575,Igor Zubeldia,es ESP,DF,Real Sociedad,27-184,1997,6,485,81,67.4,5.4,6,81,4,0,,0,0.83,4,5,-1,-0.19,-0.19,7.5,6.9,+0.6,+0.11,+0.64,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
576,Martín Zubimendi,es ESP,MF,Real Sociedad,25-241,1999,8,675,84,93.8,7.5,7,90,7,1,45,0,1.00,6,7,-1,-0.13,-0.13,8.7,9.6,-0.8,-0.11,-0.14,Matches
