Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
35,Nicolò Barella,ITA,MF,Inter,27,1997,3.5,1,4,1,25.0,1.15,0.29,0.25,1.0,20.9,0,0,0,0.2,0.2,0.04,0.8,0.8
36,Davide Bartesaghi,ITA,DF,Milan,18,2005,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
37,Federico Baschirotto,ITA,DF,Lecce,28,1996,6.0,0,3,1,33.3,0.5,0.17,0.0,0.0,11.5,0,0,0,0.2,0.2,0.06,-0.2,-0.2
38,Daniele Baselli,ITA,MF,Como,32,1992,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
39,Alessandro Bastoni,ITA,DF,Inter,25,1999,4.4,0,2,1,50.0,0.46,0.23,0.0,0.0,15.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1
40,Reda Belahyane,FRA,MF,Hellas Verona,20,2004,5.8,0,2,0,0.0,0.35,0.0,0.0,0.0,25.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1
41,Raoul Bellanova,ITA,DF,Torino,24,2000,1.0,0,1,0,0.0,1.03,0.0,0.0,0.0,8.4,0,0,0,0.0,0.0,0.03,0.0,0.0
42,Raoul Bellanova,ITA,DF,Atalanta,24,2000,3.3,0,3,1,33.3,0.9,0.3,0.0,0.0,16.4,0,0,0,0.3,0.3,0.1,-0.3,-0.3
43,Andrea Belotti,ITA,FW,Como,30,1993,2.2,1,7,1,14.3,3.15,0.45,0.14,1.0,14.1,0,0,0,1.0,1.0,0.15,0.0,0.0
44,Lucas Beltrán,ARG,"MF,FW",Fiorentina,23,2001,1.0,0,4,0,0.0,4.04,0.0,0.0,0.0,15.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2
45,Ismaël Bennacer,ALG,MF,Milan,26,1997,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
46,Medon Berisha,ALB,"MF,FW",Lecce,20,2003,0.9,0,5,3,60.0,5.42,3.25,0.0,0.0,29.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1
47,Adrian Bernabe,ESP,MF,Parma,23,2001,4.9,0,7,0,0.0,1.44,0.0,0.0,0.0,31.7,2,0,0,0.2,0.2,0.02,-0.2,-0.2
48,Sam Beukema,NED,DF,Bologna,25,1998,5.5,0,3,1,33.3,0.55,0.18,0.0,0.0,16.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1
49,Alessandro Bianco,ITA,MF,Monza,21,2002,2.1,0,2,0,0.0,0.94,0.0,0.0,0.0,20.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1
50,Alessandro Bianco,ITA,MF,Fiorentina,21,2002,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
51,Jaka Bijol,SVN,DF,Udinese,25,1999,6.0,0,2,1,50.0,0.33,0.17,0.0,0.0,10.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1
52,Cristiano Biraghi,ITA,DF,Fiorentina,32,1992,4.5,1,4,2,50.0,0.89,0.44,0.25,0.5,24.5,2,0,0,0.1,0.1,0.03,0.9,0.9
53,Samuele Birindelli,ITA,DF,Monza,25,1999,1.9,0,1,1,100.0,0.52,0.52,0.0,0.0,17.3,0,0,0,0.0,0.0,0.03,0.0,0.0
