Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive_sca,PassDead_sca,TO_sca,Sh_sca,Fld_sca,Def_sca,GCA,GCA90,PassLive_gca,PassDead_gca,TO_gca,Sh_gca,Fld_gca,Def_gca
45,Ismaël Bennacer,ALG,MF,Milan,26,1997,0.6,2,3.1,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0
46,Medon Berisha,ALB,"MF,FW",Lecce,20,2003,0.9,6,6.51,4,2,0,0,0,0,0,0.0,0,0,0,0,0,0
47,Adrian Bernabe,ESP,MF,Parma,23,2001,4.9,21,4.31,16,4,0,0,1,0,1,0.21,1,0,0,0,0,0
48,Sam Beukema,NED,DF,Bologna,25,1998,5.5,7,1.27,5,0,0,2,0,0,1,0.18,0,0,0,1,0,0
49,Alessandro Bianco,ITA,MF,Monza,21,2002,2.1,5,2.37,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
50,Alessandro Bianco,ITA,MF,Fiorentina,21,2002,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
51,Jaka Bijol,SVN,DF,Udinese,25,1999,6.0,3,0.5,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0
52,Cristiano Biraghi,ITA,DF,Fiorentina,32,1992,4.5,7,1.56,2,5,0,0,0,0,0,0.0,0,0,0,0,0,0
53,Samuele Birindelli,ITA,DF,Monza,25,1999,1.9,3,1.55,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0
54,Emil Bohinen,NOR,MF,Genoa,25,1999,0.8,4,4.68,3,0,0,0,1,0,0,0.0,0,0,0,0,0,0
55,Warren Bondo,FRA,MF,Monza,21,2003,5.1,4,0.78,3,0,0,0,1,0,0,0.0,0,0,0,0,0,0
56,Ange-Yoan Bonny,FRA,FW,Parma,20,2003,4.3,17,3.92,12,0,2,1,2,0,3,0.69,1,0,1,0,1,0
57,Edoardo Bove,ITA,MF,Fiorentina,22,2002,3.2,13,4.09,9,1,0,1,2,0,2,0.63,2,0,0,0,0,0
58,Domagoj Bradarić,CRO,MF,Hellas Verona,24,1999,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
59,Matthias Braunöder,AUT,MF,Como,22,2002,1.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
60,Iker Bravo,ESP,MF,Udinese,19,2005,0.5,1,2.09,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
61,Gleison Bremer,BRA,DF,Juventus,27,1997,6.0,3,0.5,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0
62,Brenner,BRA,"MF,FW",Udinese,24,2000,3.6,8,2.2,7,1,0,0,0,0,1,0.27,1,0,0,0,0,0
63,Marco Brescianini,ITA,MF,Atalanta,24,2000,4.1,6,1.48,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0
64,Alessandro Buongiorno,ITA,DF,Napoli,25,1999,5.0,5,1.0,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
65,Gianluca Busio,USA,MF,Venezia,22,2002,2.8,10,3.52,7,0,0,2,1,0,1,0.35,0,0,0,1,0,0
66,Liberato Cacace,NZL,"DF,MF",Empoli,24,2000,0.7,3,4.09,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
67,Davide Calabria,ITA,DF,Milan,27,1996,1.6,3,1.82,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
68,Luca Caldirola,ITA,DF,Monza,33,1991,2.1,1,0.47,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
69,Hakan Çalhanoğlu,TUR,MF,Inter,30,1994,4.1,16,3.92,14,1,0,0,0,1,1,0.25,1,0,0,0,0,0
70,Drissa Camara,CIV,FW,Parma,22,2002,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
71,Nicolò Cambiaghi,ITA,FW,Bologna,23,2000,0.2,1,6.0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
72,Andrea Cambiaso,ITA,"DF,FW",Juventus,24,2000,5.1,13,2.54,11,0,1,0,0,1,1,0.2,1,0,0,0,0,0
73,Matteo Cancellieri,ITA,"FW,MF",Parma,22,2002,1.7,4,2.31,2,0,0,0,2,0,0,0.0,0,0,0,0,0,0
74,Antonio Candela,ITA,DF,Venezia,24,2000,4.9,8,1.64,5,1,1,0,0,1,1,0.21,1,0,0,0,0,0
75,Gianluca Caprari,ITA,MF,Monza,31,1993,2.2,5,2.22,3,2,0,0,0,0,1,0.44,1,0,0,0,0,0
76,Elia Caprile,ITA,GK,Napoli,23,2001,1.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
77,Francesco Caputo,ITA,FW,Empoli,37,1987,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
78,Andrea Carboni,ITA,DF,Monza,23,2001,3.9,2,0.52,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
79,Franco Carboni,ITA,DF,Venezia,21,2003,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
80,Marco Carnesecchi,ITA,GK,Atalanta,24,2000,5.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
81,Nicolò Casale,ITA,DF,Bologna,26,1998,1.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
82,Nicolò Casale,ITA,DF,Lazio,26,1998,1.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
83,Federico Cassa,ITA,"MF,FW",Atalanta,18,2006,0.2,1,6.43,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0
84,Valentín Castellanos,ARG,FW,Lazio,25,1998,4.6,12,2.6,5,0,1,4,1,1,4,0.87,0,0,1,1,1,1
85,Santiago Castro,ARG,FW,Bologna,20,2004,5.0,15,3.01,8,0,4,1,1,1,4,0.8,2,0,2,0,0,0
86,Gaetano Castrovilli,ITA,MF,Lazio,27,1997,1.0,2,2.02,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
87,Danilo Cataldi,ITA,MF,Fiorentina,30,1994,3.3,4,1.23,2,1,0,0,0,1,1,0.31,0,1,0,0,0,0
88,Zeki Çelik,TUR,DF,Roma,27,1997,4.8,6,1.24,5,1,0,0,0,0,0,0.0,0,0,0,0,0,0
89,Alberto Cerri,ITA,FW,Como,28,1996,0.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
90,Gabriel Charpentier,CGO,FW,Parma,25,1999,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
91,Walid Cheddira,MAR,FW,Napoli,26,1998,0.1,1,7.5,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
92,Leandro Chichizola,ARG,GK,Parma,34,1990,1.0,2,2.0,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0
93,Samuel Chukwueze,NGA,FW,Milan,25,1999,2.0,5,2.54,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
94,Aaron Ciammaglichella,ITA,MF,Torino,19,2005,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
95,Alessandro Circati,AUS,DF,Parma,20,2003,4.0,1,0.25,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
96,Alphadjo Cissè,ITA,MF,Hellas Verona,17,2006,0.0,1,45.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
97,Saúl Coco,EQG,DF,Torino,25,1999,5.0,2,0.4,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
98,Lorenzo Colombo,ITA,"FW,MF",Empoli,22,2002,4.7,8,1.71,3,0,2,2,1,0,1,0.21,0,0,0,1,0,0
99,Andrea Colpani,ITA,"MF,FW",Fiorentina,25,1999,4.2,10,2.41,8,1,0,1,0,0,0,0.0,0,0,0,0,0,0
100,Pietro Comuzzo,ITA,DF,Fiorentina,19,2005,4.5,2,0.44,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
101,Francisco Conceição,POR,FW,Juventus,21,2002,0.8,3,3.65,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0
102,Diego Coppola,ITA,DF,Hellas Verona,20,2003,6.0,1,0.17,1,0,0,0,0,0,1,0.17,1,0,0,0,0,0
103,Joaquín Correa,ARG,"MF,FW",Inter,30,1994,0.2,2,7.83,2,0,0,0,0,0,1,3.91,1,0,0,0,0,0
104,Lassana Coulibaly,MLI,MF,Lecce,28,1996,2.8,10,3.5,10,0,0,0,0,0,0,0.0,0,0,0,0,0,0
