Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
39,Alessandro Bastoni,ITA,DF,Inter,25,1999,4.4,411,29,137,207,69,3,411,0,0,0.0,0,0.0,288,1418,873,10,11,0,3,1,303,21
40,Reda Belahyane,FRA,MF,Hellas Verona,20,2004,5.8,270,16,83,165,29,3,270,19,13,68.4,5,26.3,170,1074,547,5,1,1,8,5,182,1
41,Raoul Bellanova,ITA,DF,Torino,24,2000,1.0,51,5,19,19,13,1,51,1,0,0.0,1,100.0,34,228,127,4,3,0,1,0,33,5
42,Raoul Bellanova,ITA,DF,Atalanta,24,2000,3.3,166,4,26,65,78,4,166,9,4,44.4,3,33.3,91,528,263,7,4,1,6,1,107,31
43,Andrea Belotti,ITA,FW,Como,30,1993,2.2,57,2,11,24,23,8,57,2,1,50.0,0,0.0,24,96,50,2,1,1,1,5,38,11
44,Lucas Beltrán,ARG,"MF,FW",Fiorentina,23,2001,1.0,51,0,1,31,20,5,51,0,0,0.0,0,0.0,39,180,61,1,1,0,0,2,47,9
45,Ismaël Bennacer,ALG,MF,Milan,26,1997,0.6,49,0,5,29,15,0,49,3,3,100.0,0,0.0,30,129,44,0,1,0,0,1,42,0
46,Medon Berisha,ALB,"MF,FW",Lecce,20,2003,0.9,61,0,3,26,32,3,61,1,0,0.0,0,0.0,37,187,94,2,1,1,0,0,40,6
47,Adrian Bernabe,ESP,MF,Parma,23,2001,4.9,346,17,80,193,77,1,346,11,5,45.5,3,27.3,184,906,606,12,7,0,4,2,237,3
48,Sam Beukema,NED,DF,Bologna,25,1998,5.5,439,38,168,248,25,6,439,0,0,0.0,0,0.0,272,1713,1023,6,3,0,1,1,316,1
49,Alessandro Bianco,ITA,MF,Monza,21,2002,2.1,152,5,37,94,23,2,152,2,0,0.0,2,100.0,106,646,312,5,7,2,5,2,118,1
50,Alessandro Bianco,ITA,MF,Fiorentina,21,2002,0.2,14,0,2,11,1,0,14,0,0,0.0,0,0.0,8,48,30,0,0,0,1,0,8,1
51,Jaka Bijol,SVN,DF,Udinese,25,1999,6.0,302,57,179,119,7,6,302,0,0,0.0,0,0.0,136,660,333,0,1,0,3,1,159,0
52,Cristiano Biraghi,ITA,DF,Fiorentina,32,1992,4.5,320,26,114,145,61,1,320,0,0,0.0,0,0.0,172,666,276,3,2,1,2,0,221,17
53,Samuele Birindelli,ITA,DF,Monza,25,1999,1.9,98,2,25,46,29,1,98,0,0,0.0,0,0.0,56,212,84,0,1,0,2,2,61,9
54,Emil Bohinen,NOR,MF,Genoa,25,1999,0.8,52,5,15,17,20,3,52,0,0,0.0,0,0.0,23,210,105,3,3,0,1,1,31,1
55,Warren Bondo,FRA,MF,Monza,21,2003,5.1,233,9,46,160,29,1,233,8,2,25.0,3,37.5,172,918,383,5,5,0,6,9,173,5
56,Ange-Yoan Bonny,FRA,FW,Parma,20,2003,4.3,132,1,9,48,76,24,131,7,4,57.1,3,42.9,73,346,111,4,3,2,12,10,95,34
57,Edoardo Bove,ITA,MF,Fiorentina,22,2002,3.2,121,3,23,70,28,8,121,5,3,60.0,1,20.0,69,347,122,3,5,0,2,5,86,6
58,Domagoj Bradarić,CRO,MF,Hellas Verona,24,1999,0.0,5,0,0,3,2,1,5,0,0,0.0,0,0.0,3,54,45,1,1,0,1,0,3,0
59,Matthias Braunöder,AUT,MF,Como,22,2002,1.5,65,2,18,39,8,2,65,3,1,33.3,2,66.7,36,142,78,1,2,1,1,1,41,0
60,Iker Bravo,ESP,MF,Udinese,19,2005,0.5,21,1,4,9,9,2,21,1,0,0.0,1,100.0,8,34,24,0,0,0,1,0,13,3
61,Gleison Bremer,BRA,DF,Juventus,27,1997,6.0,569,63,286,268,15,3,569,4,3,75.0,1,25.0,352,1760,985,2,1,0,4,2,445,0
62,Brenner,BRA,"MF,FW",Udinese,24,2000,3.6,117,4,21,60,39,6,117,4,2,50.0,2,50.0,74,406,169,4,3,1,4,6,84,9
63,Marco Brescianini,ITA,MF,Atalanta,24,2000,4.1,146,1,17,68,64,11,146,8,3,37.5,4,50.0,95,793,429,14,8,6,7,8,109,21
64,Alessandro Buongiorno,ITA,DF,Napoli,25,1999,5.0,278,34,106,158,16,6,278,1,0,0.0,1,100.0,153,679,424,3,2,0,2,3,175,1
65,Gianluca Busio,USA,MF,Venezia,22,2002,2.8,123,8,29,56,39,5,123,4,1,25.0,2,50.0,82,530,347,6,5,0,2,1,79,10
66,Liberato Cacace,NZL,"DF,MF",Empoli,24,2000,0.7,43,5,20,10,13,1,43,1,1,100.0,0,0.0,17,123,83,4,2,0,1,2,18,7
67,Davide Calabria,ITA,DF,Milan,27,1996,1.6,124,5,27,72,26,0,124,0,0,0.0,0,0.0,77,386,207,5,1,0,0,0,92,10
68,Luca Caldirola,ITA,DF,Monza,33,1991,2.1,173,13,82,81,10,2,173,0,0,0.0,0,0.0,132,553,286,1,2,0,0,0,143,2
69,Hakan Çalhanoğlu,TUR,MF,Inter,30,1994,4.1,366,7,66,212,89,5,365,1,1,100.0,0,0.0,241,1217,616,5,10,1,4,0,281,14
70,Drissa Camara,CIV,FW,Parma,22,2002,0.3,15,1,4,5,6,2,15,0,0,0.0,0,0.0,8,32,27,1,0,1,1,0,9,0
71,Nicolò Cambiaghi,ITA,FW,Bologna,23,2000,0.2,20,0,0,5,15,1,20,0,0,0.0,0,0.0,15,77,46,1,0,0,0,0,16,4
72,Andrea Cambiaso,ITA,"DF,FW",Juventus,24,2000,5.1,363,10,85,197,87,7,363,11,6,54.5,4,36.4,208,1404,726,15,13,1,14,4,271,18
73,Matteo Cancellieri,ITA,"FW,MF",Parma,22,2002,1.7,77,4,13,29,36,4,77,14,5,35.7,7,50.0,41,331,151,7,2,4,5,7,46,13
74,Antonio Candela,ITA,DF,Venezia,24,2000,4.9,174,13,79,55,42,4,174,5,3,60.0,2,40.0,88,466,180,3,1,0,3,4,100,7
75,Gianluca Caprari,ITA,MF,Monza,31,1993,2.2,95,0,4,49,42,1,95,3,1,33.3,1,33.3,74,397,149,5,4,1,8,8,82,16
76,Elia Caprile,ITA,GK,Napoli,23,2001,1.6,31,26,31,0,0,0,31,0,0,0.0,0,0.0,14,81,45,0,0,0,0,0,18,0
77,Francesco Caputo,ITA,FW,Empoli,37,1987,0.1,2,0,0,1,1,0,2,0,0,0.0,0,0.0,1,1,0,0,0,0,0,0,1,1
78,Andrea Carboni,ITA,DF,Monza,23,2001,3.9,249,17,106,132,11,0,249,1,1,100.0,0,0.0,162,618,232,2,4,0,1,1,180,1
79,Franco Carboni,ITA,DF,Venezia,21,2003,0.0,4,0,3,0,1,0,4,1,1,100.0,0,0.0,3,18,15,0,1,0,0,0,2,0
80,Marco Carnesecchi,ITA,GK,Atalanta,24,2000,5.0,157,134,157,0,0,0,157,0,0,0.0,0,0.0,83,391,239,0,0,0,0,0,76,0
81,Nicolò Casale,ITA,DF,Bologna,26,1998,1.8,116,15,62,55,0,0,116,0,0,0.0,0,0.0,65,288,164,0,0,0,1,0,82,0
