Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl_tackles,TklW_tackles,Def 3rd_tackles,Mid 3rd_tackles,Att 3rd_tackles,Tkl_challenges,Att_challenges,Tkl%_challenges,Lost_challenges,Blocks_blocks,Sh_blocks,Pass_blocks,Int,Tkl+Int,Clr,Err
46,Medon Berisha,ALB,"MF,FW",Lecce,20,2003,0.9,2,1,1,1,0,1,1,100.0,0,0,0,0,0,2,0,0
47,Adrian Bernabe,ESP,MF,Parma,23,2001,4.9,11,8,9,2,0,7,13,53.8,6,12,6,6,4,15,6,0
48,Sam Beukema,NED,DF,Bologna,25,1998,5.5,9,4,3,5,1,3,8,37.5,5,3,2,1,5,14,14,0
49,Alessandro Bianco,ITA,MF,Monza,21,2002,2.1,7,6,4,3,0,3,3,100.0,0,2,0,2,0,7,2,1
50,Alessandro Bianco,ITA,MF,Fiorentina,21,2002,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
51,Jaka Bijol,SVN,DF,Udinese,25,1999,6.0,12,6,8,4,0,6,10,60.0,4,11,7,4,7,19,32,0
52,Cristiano Biraghi,ITA,DF,Fiorentina,32,1992,4.5,4,4,1,3,0,2,7,28.6,5,2,0,2,4,8,9,0
53,Samuele Birindelli,ITA,DF,Monza,25,1999,1.9,4,4,2,2,0,1,1,100.0,0,2,1,1,0,4,2,0
54,Emil Bohinen,NOR,MF,Genoa,25,1999,0.8,1,1,1,0,0,1,4,25.0,3,2,0,2,1,2,4,0
55,Warren Bondo,FRA,MF,Monza,21,2003,5.1,9,4,8,0,1,3,6,50.0,3,5,2,3,2,11,2,1
56,Ange-Yoan Bonny,FRA,FW,Parma,20,2003,4.3,5,3,1,4,0,1,4,25.0,3,1,0,1,0,5,2,0
57,Edoardo Bove,ITA,MF,Fiorentina,22,2002,3.2,6,4,3,3,0,4,8,50.0,4,3,0,3,3,9,2,0
58,Domagoj Bradarić,CRO,MF,Hellas Verona,24,1999,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
59,Matthias Braunöder,AUT,MF,Como,22,2002,1.5,5,2,3,1,1,5,7,71.4,2,0,0,0,0,5,3,0
60,Iker Bravo,ESP,MF,Udinese,19,2005,0.5,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,1,0
61,Gleison Bremer,BRA,DF,Juventus,27,1997,6.0,15,7,9,5,1,4,5,80.0,1,15,11,4,6,21,16,0
62,Brenner,BRA,"MF,FW",Udinese,24,2000,3.6,4,2,1,2,1,2,6,33.3,4,4,0,4,1,5,5,0
63,Marco Brescianini,ITA,MF,Atalanta,24,2000,4.1,2,1,1,1,0,1,2,50.0,1,5,1,4,0,2,2,0
64,Alessandro Buongiorno,ITA,DF,Napoli,25,1999,5.0,10,7,8,2,0,6,6,100.0,0,12,8,4,2,12,16,0
65,Gianluca Busio,USA,MF,Venezia,22,2002,2.8,4,2,3,1,0,4,5,80.0,1,4,2,2,0,4,6,0
66,Liberato Cacace,NZL,"DF,MF",Empoli,24,2000,0.7,1,1,1,0,0,1,1,100.0,0,4,2,2,0,1,4,0
67,Davide Calabria,ITA,DF,Milan,27,1996,1.6,4,2,4,0,0,3,5,60.0,2,0,0,0,3,7,4,0
68,Luca Caldirola,ITA,DF,Monza,33,1991,2.1,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,7,0
69,Hakan Çalhanoğlu,TUR,MF,Inter,30,1994,4.1,10,6,1,4,5,3,5,60.0,2,1,1,0,0,10,3,0
70,Drissa Camara,CIV,FW,Parma,22,2002,0.3,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,1,0
71,Nicolò Cambiaghi,ITA,FW,Bologna,23,2000,0.2,1,0,0,1,0,0,0,0.0,0,1,0,1,0,1,0,0
72,Andrea Cambiaso,ITA,"DF,FW",Juventus,24,2000,5.1,6,5,4,2,0,4,9,44.4,5,2,0,2,2,8,9,0
73,Matteo Cancellieri,ITA,"FW,MF",Parma,22,2002,1.7,4,3,4,0,0,1,2,50.0,1,1,0,1,1,5,4,0
74,Antonio Candela,ITA,DF,Venezia,24,2000,4.9,7,5,3,3,1,5,7,71.4,2,3,2,1,2,9,7,0
75,Gianluca Caprari,ITA,MF,Monza,31,1993,2.2,2,1,0,2,0,0,0,0.0,0,2,0,2,1,3,0,0
76,Elia Caprile,ITA,GK,Napoli,23,2001,1.6,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0
77,Francesco Caputo,ITA,FW,Empoli,37,1987,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
78,Andrea Carboni,ITA,DF,Monza,23,2001,3.9,10,5,7,3,0,5,10,50.0,5,5,1,4,4,14,15,0
79,Franco Carboni,ITA,DF,Venezia,21,2003,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0
80,Marco Carnesecchi,ITA,GK,Atalanta,24,2000,5.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,4,1
81,Nicolò Casale,ITA,DF,Bologna,26,1998,1.8,2,1,1,1,0,1,2,50.0,1,4,3,1,1,3,3,1
82,Nicolò Casale,ITA,DF,Lazio,26,1998,1.5,5,3,4,1,0,0,0,0.0,0,4,3,1,1,6,2,0
83,Federico Cassa,ITA,"MF,FW",Atalanta,18,2006,0.2,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,0,0
84,Valentín Castellanos,ARG,FW,Lazio,25,1998,4.6,4,2,0,1,3,1,4,25.0,3,4,1,3,0,4,2,0
85,Santiago Castro,ARG,FW,Bologna,20,2004,5.0,3,2,0,3,0,0,2,0.0,2,3,0,3,1,4,7,0
86,Gaetano Castrovilli,ITA,MF,Lazio,27,1997,1.0,3,1,2,0,1,0,1,0.0,1,1,0,1,2,5,0,0
87,Danilo Cataldi,ITA,MF,Fiorentina,30,1994,3.3,7,6,1,4,2,3,4,75.0,1,3,2,1,2,9,5,0
88,Zeki Çelik,TUR,DF,Roma,27,1997,4.8,13,9,4,6,3,7,11,63.6,4,3,2,1,2,15,11,0
89,Alberto Cerri,ITA,FW,Como,28,1996,0.7,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,1,0
90,Gabriel Charpentier,CGO,FW,Parma,25,1999,0.2,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,4,0
91,Walid Cheddira,MAR,FW,Napoli,26,1998,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
92,Leandro Chichizola,ARG,GK,Parma,34,1990,1.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0
93,Samuel Chukwueze,NGA,FW,Milan,25,1999,2.0,3,2,1,1,1,1,3,33.3,2,0,0,0,0,3,0,0
94,Aaron Ciammaglichella,ITA,MF,Torino,19,2005,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
95,Alessandro Circati,AUS,DF,Parma,20,2003,4.0,4,2,3,1,0,1,1,100.0,0,5,4,1,2,6,29,1
96,Alphadjo Cissè,ITA,MF,Hellas Verona,17,2006,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
97,Saúl Coco,EQG,DF,Torino,25,1999,5.0,8,5,5,3,0,1,4,25.0,3,9,4,5,10,18,25,0
98,Lorenzo Colombo,ITA,"FW,MF",Empoli,22,2002,4.7,5,3,0,3,2,1,4,25.0,3,4,0,4,0,5,0,0
99,Andrea Colpani,ITA,"MF,FW",Fiorentina,25,1999,4.2,4,2,2,2,0,0,4,0.0,4,1,0,1,1,5,4,0
100,Pietro Comuzzo,ITA,DF,Fiorentina,19,2005,4.5,11,5,6,3,2,5,8,62.5,3,6,5,1,2,13,9,0
101,Francisco Conceição,POR,FW,Juventus,21,2002,0.8,2,1,1,1,0,2,2,100.0,0,0,0,0,1,3,0,0
102,Diego Coppola,ITA,DF,Hellas Verona,20,2003,6.0,8,4,5,2,1,6,9,66.7,3,10,5,5,13,21,25,1
