Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp_total,Att_total,Cmp%_total,TotDist_total,PrgDist_total,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
461,Nicolò Zaniolo,ITA,"FW,MF",Atalanta,25,1999,0.4,7,8,87.5,129,46,2,2,100.0,4,5,80.0,1,1,100.0,1,0.2,0.1,0.8,3,1,1,0,2
462,Alessandro Zanoli,ITA,DF,Genoa,23,2000,2.4,46,66,69.7,798,183,21,23,91.3,20,27,74.1,4,9,44.4,0,0.1,0.0,-0.1,1,2,1,1,1
463,Duván Zapata,COL,FW,Torino,33,1991,5.6,78,115,67.8,1059,190,47,69,68.1,15,21,71.4,8,10,80.0,0,0.5,0.5,-0.5,9,4,4,1,7
464,Gabriele Zappa,ITA,DF,Cagliari,24,1999,4.5,218,274,79.6,3893,1768,97,106,91.5,105,118,89.0,14,37,37.8,0,0.1,0.2,-0.1,2,22,3,2,24
465,Davide Zappacosta,ITA,DF,Atalanta,32,1992,3.5,134,160,83.8,2199,643,65,71,91.5,60,72,83.3,8,14,57.1,1,0.5,0.4,0.5,4,10,7,6,17
466,Oier Zarraga,ESP,MF,Udinese,25,1999,1.4,40,45,88.9,615,158,21,22,95.5,11,13,84.6,5,5,100.0,0,0.2,0.3,-0.2,1,4,1,1,5
467,Jordan Zemura,ZIM,DF,Udinese,24,1999,2.4,66,85,77.6,1004,475,43,47,91.5,16,21,76.2,6,13,46.2,1,0.2,0.3,0.8,2,1,5,4,8
468,Kevin Zeroli,ITA,MF,Milan,19,2005,0.1,9,9,100.0,133,28,5,5,100.0,4,4,100.0,0,0,0.0,0,0.0,0.0,0.0,0,1,0,0,2
469,Piotr Zieliński,POL,MF,Inter,30,1994,0.6,66,79,83.5,1042,227,36,37,97.3,26,29,89.7,4,9,44.4,0,0.1,0.1,-0.1,3,5,2,0,11
470,Nadir Zortea,ITA,DF,Cagliari,25,1999,1.4,49,67,73.1,806,200,25,27,92.6,16,19,84.2,5,12,41.7,0,0.2,0.3,-0.2,3,4,3,2,1
471,Milan Đurić,BIH,FW,Monza,34,1990,3.9,40,80,50.0,505,85,25,46,54.3,10,19,52.6,1,1,100.0,0,0.1,0.0,-0.1,1,2,0,0,4
