Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
568,Mattia Valoti,ITA,"FW,MF",Monza,31,1993.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
569,Ignace Van Der Brempt,BEL,DF,Como,22,2002.0,3,225.0,75.0,41.7,2.5,2,90.0,2,1,45.0,1,2.0,6.0,4.0,2.0,0.8,4.6,3.4,1.1,0.45
570,Devis Vásquez,COL,GK,Empoli,26,1998.0,6,540.0,90.0,100.0,6.0,6,90.0,6,0,0.0,0,1.67,5.0,2.0,3.0,0.5,5.8,7.6,-1.8,-0.3
571,Johan Vásquez,MEX,DF,Genoa,25,1998.0,6,481.0,80.0,89.1,5.3,5,90.0,5,1,31.0,0,0.83,3.0,9.0,-6.0,-1.12,5.5,9.4,-3.9,-0.74
572,Dominic Vavassori,ITA,FW,Atalanta,18,2005.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
573,Matías Vecino,URU,MF,Lazio,33,1991.0,4,149.0,37.0,27.6,1.7,1,90.0,1,3,20.0,2,2.25,3.0,3.0,0.0,0.0,3.3,1.4,2.0,1.2
574,Simone Verdi,ITA,MF,Como,32,1992.0,1,28.0,28.0,5.2,0.3,0,0.0,0,1,28.0,3,0.0,0.0,1.0,-1.0,-3.21,0.1,0.2,-0.1,-0.33
575,Samuele Vignato,ITA,MF,Monza,20,2004.0,3,106.0,35.0,19.6,1.2,1,68.0,0,2,19.0,0,0.67,0.0,1.0,-1.0,-0.85,0.4,1.4,-1.1,-0.93
576,Mauro Vigorito,ITA,GK,Como,34,1990.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
577,Nicolas Viola,ITA,"FW,MF",Cagliari,34,1989.0,2,54.0,27.0,12.0,0.6,0,0.0,0,2,27.0,2,0.0,0.0,0.0,0.0,0.0,2.3,0.4,1.9,3.17
578,Mattia Viti,ITA,DF,Empoli,22,2002.0,6,540.0,90.0,100.0,6.0,6,90.0,6,0,0.0,0,1.67,5.0,2.0,3.0,0.5,5.8,7.6,-1.8,-0.3
579,Vitinha,POR,FW,Genoa,24,2000.0,6,414.0,69.0,76.7,4.6,5,74.0,2,1,45.0,0,0.83,4.0,7.0,-3.0,-0.65,5.1,6.3,-1.2,-0.26
580,Dušan Vlahović,SRB,FW,Juventus,24,2000.0,6,487.0,81.0,90.2,5.4,6,81.0,4,0,0.0,0,2.0,9.0,0.0,9.0,1.66,6.5,2.0,4.5,0.83
581,Vanja Vlahović,SRB,MF,Atalanta,20,2004.0,1,16.0,16.0,3.0,0.2,0,0.0,0,1,16.0,1,0.0,1.0,0.0,1.0,5.63,1.3,0.2,1.1,6.16
582,Nikola Vlašić,CRO,FW,Torino,26,1997.0,1,28.0,28.0,5.2,0.3,0,0.0,0,1,28.0,0,0.0,2.0,1.0,1.0,3.21,0.3,1.1,-0.8,-2.51
583,Alessandro Vogliacco,ITA,DF,Genoa,26,1998.0,4,240.0,60.0,44.4,2.7,3,65.0,1,1,46.0,2,1.25,2.0,4.0,-2.0,-0.75,3.4,4.6,-1.2,-0.44
584,Mërgim Vojvoda,KVX,DF,Torino,29,1995.0,5,339.0,68.0,62.8,3.8,5,68.0,1,0,0.0,0,1.6,5.0,5.0,0.0,0.0,4.8,6.2,-1.5,-0.39
585,Stefan de Vrij,NED,DF,Inter,32,1992.0,2,106.0,53.0,19.6,1.2,1,90.0,1,1,16.0,2,2.0,1.0,2.0,-1.0,-0.85,2.1,0.5,1.6,1.37
586,Sebastian Walukiewicz,POL,DF,Torino,24,2000.0,3,153.0,51.0,28.3,1.7,1,81.0,0,2,36.0,1,2.33,3.0,1.0,2.0,1.18,2.3,1.8,0.4,0.26
587,Sebastian Walukiewicz,POL,DF,Empoli,24,2000.0,2,180.0,90.0,33.3,2.0,2,90.0,2,0,0.0,0,2.0,2.0,1.0,1.0,0.5,3.1,2.5,0.7,0.34
588,Timothy Weah,USA,FW,Juventus,24,2000.0,3,114.0,38.0,21.1,1.3,1,45.0,0,2,35.0,0,1.67,2.0,0.0,2.0,1.58,0.9,0.6,0.3,0.27
589,Mateusz Wieteska,POL,DF,Cagliari,27,1997.0,1,90.0,90.0,20.0,1.0,1,90.0,1,0,0.0,3,1.0,0.0,0.0,0.0,0.0,1.0,0.9,0.0,0.03
590,John Yeboah,ECU,"MF,FW",Venezia,24,2000.0,2,50.0,25.0,9.3,0.6,0,0.0,0,2,25.0,0,1.5,1.0,0.0,1.0,1.8,0.4,0.4,0.0,-0.01
591,Kenan Yıldız,TUR,"FW,MF",Juventus,19,2005.0,6,498.0,83.0,92.2,5.5,6,83.0,4,0,0.0,0,2.0,8.0,0.0,8.0,1.45,5.8,1.6,4.1,0.75
592,Mattia Zaccagni,ITA,"FW,MF",Lazio,29,1995.0,6,516.0,86.0,95.6,5.7,6,86.0,3,0,0.0,0,1.67,10.0,10.0,0.0,0.0,8.4,6.8,1.6,0.28
593,Nicola Zalewski,POL,"FW,DF",Roma,22,2002.0,3,142.0,47.0,26.3,1.6,1,68.0,0,2,37.0,0,0.67,1.0,1.0,0.0,0.0,2.4,1.9,0.5,0.31
594,Andre-Frank Zambo Anguissa,CMR,MF,Napoli,28,1995.0,6,540.0,90.0,100.0,6.0,6,90.0,6,0,0.0,0,2.17,11.0,4.0,7.0,1.17,8.9,5.7,3.2,0.53
595,Francesco Zampano,ITA,DF,Venezia,31,1993.0,6,538.0,90.0,99.6,6.0,6,90.0,5,0,0.0,0,0.67,4.0,10.0,-6.0,-1.0,5.7,8.6,-2.9,-0.49
596,Nicolò Zaniolo,ITA,"FW,MF",Atalanta,25,1999.0,2,33.0,17.0,6.1,0.4,0,0.0,0,2,17.0,2,0.5,1.0,0.0,1.0,2.73,1.8,0.3,1.5,4.19
597,Alessandro Zanoli,ITA,DF,Genoa,23,2000.0,4,215.0,54.0,39.8,2.4,2,77.0,0,2,31.0,0,1.0,1.0,5.0,-4.0,-1.67,2.0,4.1,-2.1,-0.88
598,Duván Zapata,COL,FW,Torino,33,1991.0,6,504.0,84.0,93.3,5.6,6,84.0,4,0,0.0,0,1.83,10.0,6.0,4.0,0.71,7.7,9.2,-1.5,-0.27
599,Gabriele Zappa,ITA,DF,Cagliari,24,1999.0,5,405.0,81.0,90.0,4.5,5,81.0,4,0,0.0,0,0.4,1.0,8.0,-7.0,-1.56,5.7,6.6,-0.9,-0.21
600,Davide Zappacosta,ITA,DF,Atalanta,32,1992.0,5,311.0,62.0,57.6,3.5,4,73.0,1,1,21.0,1,1.2,6.0,8.0,-2.0,-0.58,6.5,4.6,1.9,0.56
601,Oier Zarraga,ESP,MF,Udinese,25,1999.0,3,125.0,42.0,23.1,1.4,1,85.0,0,2,20.0,3,2.0,4.0,4.0,0.0,0.0,2.4,2.9,-0.5,-0.39
602,Jordan Zemura,ZIM,DF,Udinese,24,1999.0,4,216.0,54.0,40.0,2.4,2,90.0,2,2,18.0,2,1.0,3.0,4.0,-1.0,-0.42,2.0,4.5,-2.4,-1.01
603,Alessio Zerbin,ITA,FW,Napoli,25,1999.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604,Kevin Zeroli,ITA,MF,Milan,19,2005.0,1,12.0,12.0,2.2,0.1,0,0.0,0,1,12.0,3,3.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.87
605,Piotr Zieliński,POL,MF,Inter,30,1994.0,3,58.0,19.0,10.7,0.6,0,0.0,0,3,19.0,2,1.33,1.0,2.0,-1.0,-1.55,1.2,1.1,0.1,0.1
606,Nadir Zortea,ITA,DF,Cagliari,25,1999.0,2,122.0,61.0,27.1,1.4,1,90.0,1,1,32.0,1,0.0,0.0,5.0,-5.0,-3.69,2.6,1.9,0.7,0.48
607,Milan Đurić,BIH,FW,Monza,34,1990.0,5,352.0,70.0,65.2,3.9,4,81.0,2,1,29.0,0,0.4,4.0,6.0,-2.0,-0.51,1.7,4.9,-3.2,-0.81
