Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Gls_per_90,Ast,Ast_per_90,G+A,G+A_per_90,G-PK,G-PK_per_90,PK,PKatt,CrdY,CrdR,xG,xG_per_90,npxG,npxG_per_90,xAG,xAG_per_90,npxG+xAG,npxG+xAG_per_90,PrgC,PrgP,PrgR,G+A-PK,xG+xAG
26,Milan Badelj,CRO,MF,Genoa,35,1989,6,6,399,4.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.2,0.05,0.2,0.05,0.3,0.06,0.5,0.11,3,20,5,0.0,0.11
27,Mitchel Bakker,NED,MF,Atalanta,24,2000,1,0,22,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0.0,0.0
28,Tommaso Baldanzi,ITA,"MF,FW",Roma,21,2003,6,0,151,1.7,1,0.6,1,0.6,2,1.19,1,0.6,0,0,0,0,0.5,0.31,0.5,0.31,0.1,0.08,0.7,0.39,12,4,8,1.19,0.39
29,Botond Balogh,HUN,DF,Parma,22,2002,5,5,429,4.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,0,0.0,0.0
30,Lameck Banda,ZAM,"FW,MF",Lecce,23,2001,5,2,240,2.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.6,0.21,0.6,0.21,0.4,0.16,1.0,0.38,10,4,22,0.0,0.38
31,Daniel Bandeira,POR,MF,Hellas Verona,24,2000,4,3,229,2.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.01,0.0,0.01,0.0,0.01,0.1,0.03,1,14,1,0.0,0.03
32,Mattia Bani,ITA,DF,Genoa,30,1993,4,4,314,3.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.1,0.02,0.1,0.02,0.0,0.0,0.1,0.02,3,2,1,0.0,0.02
33,Antonín Barák,CZE,MF,Fiorentina,29,1994,1,1,54,0.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.13,0.1,0.13,0.3,0.47,0.4,0.6,2,2,5,0.0,0.6
34,Federico Barba,ITA,DF,Como,31,1993,2,2,180,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,0,0.0,0.0
35,Nicolò Barella,ITA,MF,Inter,27,1997,4,4,312,3.5,1,0.29,1,0.29,2,0.58,1,0.29,0,0,0,0,0.2,0.05,0.2,0.05,0.7,0.21,0.9,0.26,2,22,10,0.58,0.26
36,Davide Bartesaghi,ITA,DF,Milan,18,2005,1,0,5,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
37,Federico Baschirotto,ITA,DF,Lecce,28,1996,6,6,540,6.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.2,0.03,0.2,0.03,0.0,0.0,0.2,0.03,1,6,1,0.0,0.03
38,Daniele Baselli,ITA,MF,Como,32,1992,2,1,22,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,0,0.0,0.0
39,Alessandro Bastoni,ITA,DF,Inter,25,1999,5,5,395,4.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.01,0.1,0.01,0.2,0.04,0.2,0.05,10,28,21,0.0,0.05
40,Reda Belahyane,FRA,MF,Hellas Verona,20,2004,6,5,520,5.8,0,0.0,1,0.17,1,0.17,0,0.0,0,0,3,0,0.1,0.02,0.1,0.02,0.2,0.04,0.3,0.06,5,26,1,0.17,0.06
41,Raoul Bellanova,ITA,DF,Torino,24,2000,1,1,87,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.03,0.0,0.03,0.1,0.07,0.1,0.11,4,0,5,0.0,0.11
42,Raoul Bellanova,ITA,DF,Atalanta,24,2000,4,4,299,3.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.3,0.09,0.3,0.09,0.7,0.2,1.0,0.29,7,14,31,0.0,0.29
43,Andrea Belotti,ITA,FW,Como,30,1993,5,3,200,2.2,1,0.45,0,0.0,1,0.45,1,0.45,0,0,0,0,1.0,0.47,1.0,0.47,0.1,0.02,1.1,0.49,2,3,11,0.45,0.49
44,Lucas Beltrán,ARG,"MF,FW",Fiorentina,23,2001,3,1,89,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.2,0.2,0.2,0.2,0.0,0.01,0.2,0.21,1,7,9,0.0,0.21
45,Ismaël Bennacer,ALG,MF,Milan,26,1997,1,1,58,0.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.14,0.1,0.14,0,4,0,0.0,0.14
46,Medon Berisha,ALB,"MF,FW",Lecce,20,2003,3,1,83,0.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.13,0.1,0.13,0.1,0.15,0.3,0.27,2,5,6,0.0,0.27
47,Adrian Bernabe,ESP,MF,Parma,23,2001,5,5,439,4.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.2,0.03,0.2,0.03,0.4,0.08,0.6,0.12,12,39,3,0.0,0.12
48,Sam Beukema,NED,DF,Bologna,25,1998,6,5,495,5.5,0,0.0,1,0.18,1,0.18,0,0.0,0,0,0,0,0.1,0.02,0.1,0.02,0.6,0.11,0.7,0.13,6,33,1,0.18,0.13
49,Alessandro Bianco,ITA,MF,Monza,21,2002,3,2,191,2.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.03,0.1,0.03,0.1,0.04,0.2,0.07,5,11,1,0.0,0.07
50,Alessandro Bianco,ITA,MF,Fiorentina,21,2002,1,0,18,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0
51,Jaka Bijol,SVN,DF,Udinese,25,1999,6,6,540,6.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.1,0.01,0.1,0.01,0.0,0.0,0.1,0.01,0,10,0,0.0,0.01
52,Cristiano Biraghi,ITA,DF,Fiorentina,32,1992,5,5,405,4.5,1,0.22,0,0.0,1,0.22,1,0.22,0,0,1,0,0.1,0.03,0.1,0.03,0.2,0.06,0.4,0.08,3,14,17,0.22,0.08
53,Samuele Birindelli,ITA,DF,Monza,25,1999,2,2,174,1.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.02,0.0,0.02,0.0,0.02,0.1,0.04,0,5,9,0.0,0.04
54,Emil Bohinen,NOR,MF,Genoa,25,1999,2,0,76,0.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.12,0.1,0.12,0.1,0.07,0.2,0.19,3,2,1,0.0,0.19
55,Warren Bondo,FRA,MF,Monza,21,2003,6,5,460,5.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.01,0.1,0.01,0.0,0.01,0.1,0.02,5,7,5,0.0,0.02
56,Ange-Yoan Bonny,FRA,FW,Parma,20,2003,5,5,390,4.3,2,0.46,1,0.23,3,0.69,1,0.23,1,1,0,0,1.9,0.44,1.1,0.26,0.9,0.21,2.0,0.47,4,8,34,0.46,0.65
57,Edoardo Bove,ITA,MF,Fiorentina,22,2002,4,3,286,3.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.3,0.08,0.3,0.08,0.1,0.04,0.4,0.12,3,11,6,0.0,0.12
58,Domagoj Bradarić,CRO,MF,Hellas Verona,24,1999,1,0,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0
59,Matthias Braunöder,AUT,MF,Como,22,2002,3,2,138,1.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,0,0.0,0.0
60,Iker Bravo,ESP,MF,Udinese,19,2005,3,0,42,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.4,0.86,0.4,0.86,0.1,0.16,0.5,1.03,0,1,3,0.0,1.03
61,Gleison Bremer,BRA,DF,Juventus,27,1997,6,6,540,6.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2,0,0.1,0.02,0.1,0.02,0.0,0.0,0.1,0.02,2,21,0,0.0,0.02
62,Brenner,BRA,"MF,FW",Udinese,24,2000,6,4,328,3.6,1,0.27,2,0.55,3,0.82,1,0.27,0,0,0,0,0.6,0.17,0.6,0.17,0.5,0.12,1.1,0.3,4,4,9,0.82,0.3
63,Marco Brescianini,ITA,MF,Atalanta,24,2000,6,4,365,4.1,2,0.49,0,0.0,2,0.49,2,0.49,0,0,0,0,0.5,0.13,0.5,0.13,0.3,0.08,0.9,0.21,14,13,21,0.49,0.21
64,Alessandro Buongiorno,ITA,DF,Napoli,25,1999,5,5,450,5.0,1,0.2,0,0.0,1,0.2,1,0.2,0,0,0,0,0.6,0.13,0.6,0.13,0.0,0.01,0.7,0.14,3,19,1,0.2,0.14
65,Gianluca Busio,USA,MF,Venezia,22,2002,3,3,256,2.8,1,0.35,0,0.0,1,0.35,1,0.35,0,0,0,0,0.3,0.11,0.3,0.11,0.4,0.15,0.7,0.25,6,8,10,0.35,0.25
66,Liberato Cacace,NZL,"DF,MF",Empoli,24,2000,4,0,66,0.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.06,0.0,0.06,0.1,0.13,0.1,0.2,4,2,7,0.0,0.2
67,Davide Calabria,ITA,DF,Milan,27,1996,2,2,148,1.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0.11,0.2,0.11,5,16,10,0.0,0.11
