Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
47,Adrian Bernabe,ESP,MF,Parma,23,2001,4.9,0,0,0,3,12,0,6,4,8,0,0,0,17,4,1,80.0
48,Sam Beukema,NED,DF,Bologna,25,1998,5.5,0,0,0,4,8,1,0,5,4,0,0,0,24,13,5,72.2
49,Alessandro Bianco,ITA,MF,Monza,21,2002,2.1,0,0,0,5,6,1,1,0,6,0,0,0,7,1,1,50.0
50,Alessandro Bianco,ITA,MF,Fiorentina,21,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0
51,Jaka Bijol,SVN,DF,Udinese,25,1999,6.0,1,0,0,8,0,1,0,7,6,0,1,0,12,18,8,69.2
52,Cristiano Biraghi,ITA,DF,Fiorentina,32,1992,4.5,1,0,0,3,7,0,29,4,4,0,0,0,9,2,2,50.0
53,Samuele Birindelli,ITA,DF,Monza,25,1999,1.9,0,0,0,3,1,0,10,0,4,0,0,0,6,1,3,25.0
54,Emil Bohinen,NOR,MF,Genoa,25,1999,0.8,0,0,0,1,2,0,0,1,1,0,0,0,3,1,1,50.0
55,Warren Bondo,FRA,MF,Monza,21,2003,5.1,0,0,0,6,13,0,1,2,4,0,0,0,21,2,2,50.0
56,Ange-Yoan Bonny,FRA,FW,Parma,20,2003,4.3,0,0,0,6,8,5,0,0,3,1,0,0,13,3,11,21.4
57,Edoardo Bove,ITA,MF,Fiorentina,22,2002,3.2,1,0,0,6,10,0,0,3,4,0,0,0,13,4,7,36.4
58,Domagoj Bradarić,CRO,MF,Hellas Verona,24,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0
59,Matthias Braunöder,AUT,MF,Como,22,2002,1.5,1,0,0,4,1,0,0,0,2,0,0,0,6,0,1,0.0
60,Iker Bravo,ESP,MF,Udinese,19,2005,0.5,1,0,0,1,1,0,0,0,1,0,0,0,6,1,2,33.3
61,Gleison Bremer,BRA,DF,Juventus,27,1997,6.0,2,0,0,9,5,0,0,6,7,0,0,0,23,11,7,61.1
62,Brenner,BRA,"MF,FW",Udinese,24,2000,3.6,0,0,0,0,4,0,6,1,2,0,0,0,10,1,3,25.0
