player_id,player_name,nation,position,team_id,age,date_of_birth
,Andreas Hanche-Olsen,NOR,DF,2,27,1997.0
,Ramon Hendriks,NED,DF,3,23,2001.0
,Benjamin Henrichs,GER,DF,2,27,1997.0
,Piero Hincapié,ECU,DF,3,22,2002.0
,Adam Hložek,CZE,FW,2,22,2002.0
,Nicolas Höfler,GER,MF,3,34,1990.0
,Jonas Hofmann,GER,MF,2,32,1992.0
,Philipp Hofmann,GER,FW,3,31,1993.0
,Lucas Höler,GER,"MF,FW",1,30,1994.0
,Benedict Hollerbach,GER,"MF,FW",2,23,2001.0
,Lewis Holtby,GER,MF,1,34,1990.0
,Franck Honorat,FRA,FW,2,28,1996.0
,Mathias Honsak,AUT,"FW,MF",1,27,1996.0
,Lukáš Hrádecký,FIN,GK,1,34,1989.0
,Robin Hranáč,CZE,DF,3,24,2000.0
,Hong Hyunseok,KOR,MF,2,25,1999.0
,Oscar Højlund,DEN,MF,3,19,2005.0
,Jackson Irvine,AUS,MF,2,31,1993.0
,Ko Itakura,JPN,DF,1,27,1997.0
,Marko Ivezić,SRB,DF,1,22,2001.0
,Lee Jae-sung,KOR,MF,1,32,1992.0
,Kristijan Jakić,CRO,MF,1,27,1997.0
,Dominik Javorček,SVK,DF,2,21,2002.0
,Fredrik Jensen,FIN,MF,2,27,1997.0
,Moritz Jenz,GER,DF,3,25,1999.0
,Carl Johansson,SWE,DF,2,30,1994.0
,Anthony Jung,GER,DF,2,32,1991.0
,Yusuf Kabadayı,GER,MF,,20,2004.0
,Pavel Kadeřábek,CZE,DF,3,32,1992.0
,Jakub Kamiński,POL,DF,2,22,2002.0
,Kevin Kampl,SVN,MF,1,33,1990.0
,Harry Kane,ENG,FW,2,31,1993.0
,Atakan Karazor,GER,MF,2,27,1996.0
,Mikkel Kaufmann,DEN,FW,3,23,2001.0
,Andu Kelati,GER,MF,2,22,2002.0
,Aljoscha Kemlein,GER,MF,2,20,2004.0
,Luca Kerber,GER,"MF,FW",1,22,2002.0
,Rani Khedira,GER,MF,3,30,1994.0
,Joshua Kimmich,GER,"MF,DF",2,29,1995.0
,Tim Kleindienst,GER,FW,3,29,1995.0
,Lukas Klostermann,GER,DF,1,28,1996.0
,Ansgar Knauff,GER,"MF,FW",2,22,2002.0
,Magnus Knudsen,NOR,MF,1,23,2001.0
,Gregor Kobel,SUI,GK,2,26,1997.0
,Robin Koch,GER,DF,3,28,1996.0
,Derrick Köhn,GER,DF,2,25,1999.0
,Dominik Kohr,GER,DF,2,30,1994.0
,Marco Komenda,CRO,DF,1,27,1996.0
,Mert Kömür,GER,MF,1,19,2005.0
,Henri Koudossou,GER,DF,2,25,1999.0
,Konstantinos Koulierakis,GRE,DF,1,20,2003.0
,Matej Kovar,CZE,GK,1,24,2000.0
,Andrej Kramarić,CRO,MF,2,33,1991.0
,Frans Krätzig,GER,DF,2,21,2003.0
,Rasmus Kristensen,DEN,"DF,MF",3,27,1997.0
,Lukas Kübler,GER,DF,1,32,1992.0
,Moritz-Broni Kwarteng,GHA,MF,3,26,1998.0
,Nediljko Labrović,CRO,GK,3,24,1999.0
,Konrad Laimer,AUT,"DF,MF",1,27,1997.0
,Stefan Lainer,AUT,DF,3,32,1992.0
,Hugo Larsson,SWE,MF,2,20,2004.0
,Diogo Leite,POR,DF,2,25,1999.0
,Maxim Leitsch,GER,DF,1,26,1998.0
,Jamie Leweling,GER,"FW,MF",2,23,2001.0
,Philipp Lienhart,AUT,DF,3,28,1996.0
,Anthony Losilla,FRA,MF,2,38,1986.0
,Castello Lukeba,FRA,DF,2,21,2002.0
,Senne Lynen,BEL,MF,3,25,1999.0
,Shuto Machino,JPN,"FW,MF",3,24,1999.0
,Arne Maier,GER,MF,2,25,1999.0
,Patrick Mainka,GER,DF,3,29,1994.0
,Lovro Majer,CRO,MF,1,26,1998.0
,Jordy Makengo,FRA,DF,2,23,2001.0
,Julián Malatini,ARG,DF,2,23,2001.0
,Donyell Malen,NED,"FW,DF",2,25,1999.0
,Lennard Maloney,USA,MF,1,24,1999.0
,Omar Marmoush,EGY,"FW,MF",3,25,1999.0
,Erhan Mašović,SRB,DF,2,25,1998.0
,Igor Matanovic,CRO,FW,2,21,2003.0
,Keke Maximilian Topp,GER,"FW,MF",1,20,2004.0
,Jakov Medić,CRO,DF,2,26,1998.0
,Connor Metcalfe,AUS,MF,2,24,1999.0
,Karol Mets,EST,DF,1,31,1993.0
,Florian Micheler,AUT,MF,2,19,2005.0
,Enzo Millot,FRA,"MF,FW",2,22,2002.0
,Kim Min-jae,KOR,DF,1,27,1996.0
,Maximilian Mittelstädt,GER,DF,1,27,1997.0
,Koji Miyoshi,JPN,MF,1,27,1997.0
,Max Moerstedt,GER,FW,1,0,0.0
,Steve Mounié,BEN,FW,3,29,1994.0
,Nordi Mukiele,FRA,DF,3,26,1997.0
,Florian Müller,GER,GK,2,26,1997.0
,Kevin Müller,GER,GK,1,33,1991.0
,Thomas Müller,GER,MF,3,35,1989.0
,Jamal Musiala,GER,MF,2,21,2003.0
,Florent Muslija,KVX,MF,2,26,1998.0
,Phillipp Mwene,AUT,DF,3,30,1994.0
,Nathan N'Goumou,FRA,FW,3,24,2000.0
,Stanley N'Soki,FRA,DF,3,25,1999.0
,Paul Nebel,GER,DF,3,21,2002.0
,Luca Netz,GER,DF,1,21,2003.0
,Manuel Neuer,GER,GK,1,38,1986.0
,Florian Neuhaus,GER,MF,2,27,1997.0
,Justin Njinmah,GER,"MF,FW",1,23,2000.0
,Niels Nkounkou,FRA,"MF,DF",3,23,2000.0
,Felix Nmecha,GER,"MF,DF",2,23,2000.0
,Alexander Nübel,GER,GK,2,27,1996.0
,Antonio Nusa,NOR,MF,2,19,2005.0
,Tim Oermann,GER,DF,3,20,2003.0
,Ifechukwu Ogbus,SUI,DF,2,18,2005.0
,Michael Olise,FRA,"FW,MF",1,22,2001.0
,Jonas Omlin,SUI,GK,2,30,1994.0
,Karim Onisiwo,AUT,"MF,FW",1,32,1992.0
,Frank Onyeka,NGA,MF,2,26,1998.0
,Loïs Openda,BEL,FW,1,24,2000.0
,Willi Orban,HUN,DF,3,31,1992.0
,Patrick Osterhage,GER,MF,3,24,2000.0
,Salih Özcan,TUR,MF,3,26,1998.0
,João Palhinha,POR,MF,2,29,1995.0
,Mats Pannewig,GER,MF,1,19,2004.0
,Felix Passlack,GER,DF,2,26,1998.0
,Aleksandar Pavlovic,GER,MF,2,20,2004.0
,Mads Pedersen,DEN,DF,1,28,1996.0
,Jordan Pefok,USA,FW,2,28,1996.0
,Benedikt Pichler,AUT,FW,2,27,1997.0
,Marvin Pieringer,GER,"FW,MF",1,24,1999.0
,Alassane Pléa,FRA,"FW,MF",2,31,1993.0
,Finn Porath,GER,"DF,MF",2,27,1997.0
,Yussuf Poulsen,DEN,FW,,30,1994.0
,Alexander Prass,AUT,DF,2,23,2001.0
,Grischa Prömel,GER,MF,2,29,1995.0
,Tymoteusz Puchacz,POL,DF,3,25,1999.0
,Leopold Querfeld,AUT,DF,1,20,2003.0
,David Raum,GER,DF,2,26,1998.0
,Rocco Reitz,GER,MF,3,22,2002.0
,Nicolai Remberg,GER,MF,3,24,2000.0
,Elvis Rexhbeçaj,KVX,MF,2,26,1997.0
,Gio Reyna,USA,MF,2,21,2002.0
,Fabian Rieder,SUI,"MF,FW",2,22,2002.0
,Lars Ritzka,GER,"DF,FW",1,26,1998.0
,Merlin Röhl,GER,MF,1,22,2002.0
,Lasse Rosenboom,GER,DF,1,22,2002.0
,Max Rosenfelder,GER,DF,1,21,2003.0
,Tom Rothe,GER,"DF,MF",3,19,2004.0
,Anthony Rouault,FRA,DF,2,23,2001.0
,Julian Ryerson,NOR,DF,2,26,1997.0
,Frederik Rønnow,DEN,GK,2,32,1992.0
,Elias Saad,TUN,"FW,MF",2,24,1999.0
,Marcel Sabitzer,AUT,"MF,FW",1,30,1994.0
,Manolis Saliakas,GRE,"MF,DF",1,28,1996.0
,Roland Sallai,HUN,"FW,MF",3,27,1997.0
,Philipp Sander,GER,MF,3,26,1998.0
,Kaishu Sano,JPN,MF,1,23,2000.0
,Kauã Santos,BRA,GK,1,21,2003.0
,Joe Scally,USA,DF,2,21,2002.0
,András Schäfer,HUN,MF,2,25,1999.0
,Patrik Schick,CZE,FW,3,28,1996.0
,Keven Schlotterbeck,GER,DF,1,27,1997.0
,Nico Schlotterbeck,GER,DF,3,24,1999.0
,Romano Schmid,AUT,MF,3,24,2000.0
,Jan Schöppner,GER,MF,2,25,1999.0
,Marvin Schulz,GER,MF,1,29,1995.0
,Léo Scienza,BRA,FW,1,26,1998.0
,Nicolas Seiwald,AUT,MF,3,23,2001.0
,Benjamin Šeško,SVN,"MF,FW",2,21,2003.0
,Armindo Sieb,GER,MF,2,21,2003.0
,Tim Siersleben,GER,DF,3,24,2000.0
,Kiliann Sildillia,FRA,FW,1,22,2002.0
,Mohamed Simakan,FRA,DF,3,24,2000.0
,Xavi Simons,NED,MF,3,21,2003.0
,Ibrahima Sissoko,MLI,MF,2,26,1997.0
,Tim Skarke,GER,"FW,MF",3,28,1996.0
,Ellyes Skhiri,TUN,MF,2,29,1995.0
,Eric Smith,SWE,DF,2,27,1997.0
,Anton Stach,GER,DF,2,25,1998.0
,Jens Stage,DEN,MF,2,27,1996.0
,Niklas Stark,GER,DF,3,29,1995.0
,Pascal Stenzel,GER,DF,3,28,1996.0
,Angelo Stiller,GER,"MF,DF",2,23,2001.0
,Kevin Stöger,AUT,"MF,FW",1,31,1993.0
,Niklas Süle,GER,DF,3,29,1995.0
,Mattias Svanberg,SWE,MF,1,25,1999.0
,Haris Tabakovic,BIH,FW,2,30,1994.0
,Jonathan Tah,GER,DF,2,28,1996.0
,Edmond Tapsoba,BFA,DF,2,25,1999.0
,Mathys Tel,FRA,"MF,FW",1,19,2005.0
,Nathan Tella,NGA,DF,3,25,1999.0
,Martin Terrier,FRA,MF,1,27,1997.0
,Arthur Theate,BEL,DF,2,24,2000.0
,Phillip Tietz,GER,"FW,MF",3,27,1997.0
,Umut Tohumcu,GER,MF,3,20,2004.0
,Tiago Tomás,POR,"FW,MF",3,22,2002.0
,Lucas Tousart,FRA,MF,1,27,1997.0
,Omar Traoré,GER,DF,3,26,1998.0
,Kevin Trapp,GER,GK,1,34,1990.0
,Philipp Treu,GER,"DF,FW",3,23,2000.0
,Christopher Trimmel,AUT,DF,2,37,1987.0
,Tuta,BRA,DF,3,25,1999.0
,Deniz Undav,GER,"FW,MF",2,28,1996.0
,Dayot Upamecano,FRA,DF,2,25,1998.0
,Can Uzun,TUR,"MF,FW",2,18,2005.0
,Josha Vagnoman,GER,DF,2,23,2000.0
,Ruben Vargas,SUI,MF,3,26,1998.0
,Nikola Vasilj,BIH,GK,3,28,1995.0
,Miloš Veljković,SRB,DF,3,28,1995.0
,Nikolas Veratschnig,AUT,MF,3,21,2003.0
,Arthur Vermeeren,BEL,MF,2,19,2005.0
,Yorbe Vertessen,BEL,"MF,FW",,23,2001.0
,Kevin Vogt,GER,DF,1,32,1991.0
,Aster Vranckx,BEL,MF,2,21,2002.0
,Robert Wagner,GER,MF,3,21,2003.0
,Hauke Wahl,GER,DF,2,30,1994.0
,Paul Wanner,GER,MF,3,18,2005.0
,Julian Weigl,GER,MF,2,29,1995.0
,Timon Weiner,GER,GK,3,25,1999.0
,Nelson Weiper,GER,MF,3,19,2005.0
,Mitchell Weiser,GER,DF,3,30,1994.0
,Silvan Widmer,SUI,DF,3,31,1993.0
,Patrick Wimmer,AUT,"FW,MF",3,23,2001.0
,Jonas Wind,DEN,"MF,FW",2,25,1999.0
,Florian Wirtz,GER,MF,2,21,2003.0
,Dani de Wit,NED,MF,2,26,1998.0
,Maximilian Wittek,GER,DF,1,29,1995.0
,Marius Wolf,GER,DF,1,29,1995.0
,Nick Woltemade,GER,MF,3,22,2002.0
,Jeong Woo-yeong,KOR,"FW,MF",2,24,1999.0
,Granit Xhaka,SUI,MF,2,31,1992.0
,Dan-Axel Zagadou,FRA,MF,2,25,1999.0
,Robin Zentner,GER,GK,3,29,1994.0
,Cedric Zesiger,SUI,DF,2,26,1998.0
,Michael Zetterer,GER,GK,1,29,1995.0
,Abel,ESP,DF,2,24,2000.0
,Nabil Aberdin,FRA,MF,3,22,2002.0
,Abdel Abqar,MAR,DF,,25,1999.0
,Julen Agirrezabala,ESP,GK,2,23,2000.0
,Lucien Agoume,FRA,MF,1,22,2002.0
,Álvaro Aguado,ESP,MF,,28,1996.0
,Nayef Aguerd,MAR,DF,3,28,1996.0
,Joseph Aidoo,GHA,DF,2,28,1995.0
,Ilias Akhomach,MAR,MF,2,20,2004.0
,Raúl Albiol,ESP,DF,3,39,1985.0
,Omar Alderete,PAR,DF,3,27,1996.0
,Carles Aleñá,ESP,"MF,FW",2,26,1998.0
,Alfon,ESP,FW,2,25,1999.0
,Domingos André Ribeiro Almeida,POR,"FW,MF",2,24,2000.0
